EmployeeID,Department,JobRole,JobLevel,ManagerID,LocationType,Age,Gender,EducationLevel,YearsAtCompany,YearsSinceLastPromotion,PerformanceRating,HistoricalRatingAvg,CalibrationAdjustedFlag,SelfRating,PeerAvgRating,SubordinateAvgRating,Overall360Score,SelfOtherGap,Leadership360,Collaboration360,OKRCompletionPct,NumOKRsAssigned,WeightedGoalAttainment,EngagementScore,JobSatisfaction,WorkLifeBalanceRating,BurnoutRisk,TrainingHoursLastYear,OvertimeHoursMonthly,AbsenteeismDays,AvgMonthlyHours,ProjectsHandled,PercentSalaryHikeLast,BonusPayoutPct,HighPotentialFlag,PIPHistoryFlag,HighPerformer,PerformanceTrend,SelfOtherGapBucket,OKREfficiencyScore,Rating360Variance,WorkloadRatio,WorkloadZone,TenureBucket,PromotionLagFlag,BurnoutWorkloadIndex,TrainingEfficiency,LeadershipGap,PromotionReadinessScore,ReadinessCategory,EngagementPerfAlignment,EngagementPerfQuadrant,ReportMonth
EMP00011,HR,Compensation Analyst,Director,MGR0048,Hybrid,36,Female,Master's,1.3,0.9,3.0,3.75,0,3.32,3.48,2.39,3.06,-0.16,3.33,2.63,63.4,8,67.8,49.5,3.55,2.57,Low,24,25.5,2,191,9,4.3,0.7,0,0,0,-0.75,Aligned,7.76,0.589,0.91,Optimal,1-3yr,0,0.12,-0.0312,0.27,0.388,Development Needed,0.228,Flight Risk (Low Eng + High Perf),2024-10
EMP00012,Product,Product Manager,IC3,MGR0050,Hybrid,37,Male,Master's,11.1,8.4,3.1,2.94,0,3.02,2.96,2.39,3.06,0.06,2.61,2.06,95.5,6,100.0,76.8,2.79,4.36,Low,43,20.1,1,178,6,7.9,0.88,0,0,0,0.06,Aligned,16.0,0.348,1.017,Optimal,7+yr,0,0.135,0.0014,-0.45,0.594,Ready in 12 Months,0.367,Star (High Eng + High Perf),2024-10
EMP00013,HR,Compensation Analyst,IC2,MGR0081,On-Site,32,Male,Master's,0.5,0.2,2.0,1.96,1,2.6,2.08,2.39,2.27,0.52,2.1,2.26,53.6,5,58.2,42.1,1.93,2.42,Medium,0,14.7,2,188,4,2.3,0.22,0,0,0,0.04,Slight Inflation,11.04,0.262,1.119,Optimal,0-1yr,0,0.463,0.04,-0.17,0.239,Not Yet Ready,0.087,Needs Support (Low Eng + Low Perf),2024-10
EMP00014,HR,L&D Specialist,IC2,MGR0044,On-Site,36,Male,Master's,5.2,4.5,5.0,4.95,1,5.0,4.68,2.39,4.6,0.32,3.99,3.91,98.5,6,95.6,96.6,3.96,2.48,Medium,62,21.5,0,205,4,14.3,1.32,1,0,1,0.05,Aligned,16.67,1.424,1.22,Stretched,3-7yr,1,0.55,0.0008,-0.61,0.947,Ready Now,0.928,Star (High Eng + High Perf),2024-10
EMP00015,Customer Success,CS Specialist,IC3,MGR0059,Hybrid,22,Male,Bachelor's,1.9,1.7,3.4,2.77,1,4.2,3.72,2.39,3.73,0.48,2.27,2.48,77.7,6,80.8,63.7,4.56,3.68,Medium,30,19.4,2,184,4,6.4,0.7,0,0,0,0.73,Aligned,13.23,0.938,1.051,Optimal,1-3yr,0,0.404,0.0243,-1.46,0.515,Ready in 12 Months,0.377,Star (High Eng + High Perf),2024-10
EMP00016,Marketing,Content Strategist,IC1,MGR0161,Remote,35,Male,Bachelor's,3.0,2.5,3.0,3.24,1,3.41,3.72,2.39,2.9,1.06,3.16,1.98,82.2,4,85.6,55.2,4.0,3.37,Medium,22,23.4,0,164,3,3.6,0.49,0,0,0,-0.24,Significant Inflation,20.55,0.696,1.025,Optimal,1-3yr,0,0.382,-0.0109,0.26,0.468,Development Needed,0.26,Star (High Eng + High Perf),2024-10
EMP00017,Finance,Financial Analyst,IC3,MGR0103,Hybrid,38,Female,Bachelor's,1.4,0.9,2.4,2.51,0,2.21,2.84,2.39,2.62,-0.63,1.96,2.24,57.1,6,48.9,47.6,2.12,2.46,High,31,53.9,0,224,8,5.5,0.5,0,0,0,-0.01,UnderEstimates Self,9.33,0.324,1.28,Stretched,1-3yr,0,0.842,-0.0003,-0.66,0.317,Not Yet Ready,0.153,Needs Support (Low Eng + Low Perf),2024-10
EMP00018,Customer Success,CS Manager,Director,MGR0078,Remote,31,Male,Master's,1.6,0.9,3.9,3.96,0,4.32,4.37,3.78,4.16,-0.05,3.92,3.74,82.5,8,73.3,55.7,3.47,2.53,Medium,32,25.8,6,180,10,3.4,0.99,1,0,1,0.04,Aligned,10.42,0.327,0.857,Under-Utilized,1-3yr,0,0.36,0.0012,-0.24,0.72,Ready in 6 Months,0.387,Star (High Eng + High Perf),2024-10
EMP00019,Customer Success,CS Specialist,IC1,MGR0156,Remote,34,Female,PhD,0.5,0.2,3.5,3.6,0,3.3,4.11,3.78,3.75,-0.81,3.37,3.44,93.0,5,96.4,65.5,3.91,2.88,Low,33,22.8,3,156,5,5.3,0.76,0,0,0,-0.1,UnderEstimates Self,18.78,0.407,0.975,Optimal,0-1yr,0,0.12,-0.003,-0.38,0.511,Ready in 12 Months,0.381,Star (High Eng + High Perf),2024-10
EMP00020,HR,Compensation Analyst,M1,MGR0018,Hybrid,26,Male,Bachelor's,5.2,4.5,3.1,3.27,0,2.74,3.36,3.18,3.09,-0.62,1.82,2.67,69.9,4,68.4,62.5,3.78,4.08,Low,25,20.8,1,178,5,5.8,0.6,0,0,0,-0.27,UnderEstimates Self,16.82,0.319,0.962,Optimal,3-7yr,0,0.12,-0.0108,-1.27,0.499,Development Needed,0.299,Star (High Eng + High Perf),2024-10
EMP00021,Operations,Ops Manager,M2,MGR0183,On-Site,24,Male,Bachelor's,5.0,4.4,2.6,1.8,0,1.91,2.21,2.94,2.35,-0.3,1.82,1.85,56.1,8,62.3,55.0,2.45,3.43,Medium,11,33.3,2,206,6,5.7,0.63,0,0,0,0.7,Aligned,7.41,0.53,1.056,Optimal,3-7yr,0,0.408,0.0636,-0.53,0.403,Development Needed,0.189,Coachable (High Eng + Low Perf),2024-10
EMP00022,Marketing,Marketing Analyst,M2,MGR0161,On-Site,36,Female,Master's,4.2,1.3,3.0,2.99,1,2.76,2.21,2.81,2.99,-0.65,2.95,2.82,77.0,8,68.1,45.9,3.55,3.65,Medium,24,29.2,1,199,11,7.6,0.68,0,0,0,0.01,UnderEstimates Self,9.5,0.333,1.021,Optimal,3-7yr,0,0.378,0.0004,-0.04,0.465,Development Needed,0.212,Flight Risk (Low Eng + High Perf),2024-10
EMP00023,Sales,Account Executive,Director,MGR0116,Hybrid,29,Female,PhD,8.4,4.3,2.1,1.22,0,1.82,2.3,1.92,2.01,-0.48,1.86,2.82,41.1,8,47.2,27.5,2.22,2.77,Medium,0,24.3,7,181,10,1.5,0.13,0,1,0,0.78,Aligned,5.45,0.253,0.862,Under-Utilized,7+yr,0,0.36,0.78,-0.15,0.343,Not Yet Ready,0.059,Needs Support (Low Eng + Low Perf),2024-10
EMP00024,Customer Success,CS Manager,IC2,MGR0106,Hybrid,22,Female,Associate's,9.3,7.7,2.6,3.03,0,3.31,2.15,1.92,2.76,1.16,3.32,1.61,65.8,4,61.5,54.4,2.75,3.58,Medium,23,18.9,1,197,5,6.7,0.47,0,0,0,-0.53,Significant Inflation,16.9,0.745,1.173,Optimal,7+yr,0,0.51,-0.023,0.56,0.478,Development Needed,0.18,Needs Support (Low Eng + Low Perf),2024-10
EMP00025,Finance,Accountant,Director,MGR0143,Remote,26,Non-Binary,Master's,3.3,1.2,1.6,1.2,0,2.03,2.15,1.09,1.53,0.56,1.78,1.0,50.4,8,42.5,51.8,1.0,2.09,Medium,9,35.1,1,187,10,0.4,0.0,0,1,0,0.3,Slight Inflation,6.01,0.58,0.89,Under-Utilized,3-7yr,0,0.36,0.0333,0.25,0.202,Not Yet Ready,0.057,Needs Support (Low Eng + Low Perf),2024-10
EMP00026,Operations,Supply Chain Specialist,M1,MGR0189,Remote,27,Male,PhD,4.6,1.9,3.0,3.3,0,4.1,1.88,3.02,3.0,2.22,2.81,1.44,85.6,6,78.3,70.9,2.91,2.52,Low,48,27.9,4,208,9,5.1,0.82,0,0,0,-0.3,Significant Inflation,14.0,1.11,1.124,Optimal,3-7yr,0,0.227,-0.0062,-0.19,0.495,Development Needed,0.339,Star (High Eng + High Perf),2024-10
EMP00027,Operations,Supply Chain Specialist,IC1,MGR0011,Remote,41,Male,Bachelor's,0.5,0.4,2.1,1.98,0,2.22,1.88,3.02,2.05,0.8,2.42,1.44,39.9,3,42.9,59.0,2.39,3.97,Medium,9,12.3,2,167,2,2.8,0.45,0,0,0,0.02,Slight Inflation,13.57,0.585,1.044,Optimal,0-1yr,0,0.398,0.0022,0.37,0.198,Not Yet Ready,0.133,Coachable (High Eng + Low Perf),2024-10
EMP00028,Sales,Sales Development Rep,IC2,MGR0164,On-Site,36,Female,Bachelor's,7.5,6.1,1.5,1.66,1,1.28,1.69,3.02,1.41,-0.41,1.0,1.33,51.3,6,41.8,12.1,2.71,3.45,Medium,0,14.0,0,170,5,0.0,0.14,0,1,0,-0.16,Aligned,8.12,0.91,1.012,Optimal,7+yr,0,0.37,-0.16,-0.41,0.294,Not Yet Ready,0.004,Needs Support (Low Eng + Low Perf),2024-10
EMP00029,Customer Success,Onboarding Manager,IC3,MGR0143,Remote,28,Non-Binary,Bachelor's,6.8,5.8,2.5,2.78,0,2.8,2.97,3.02,2.82,-0.17,1.83,2.71,54.2,6,49.1,67.0,2.44,4.65,Medium,3,27.2,0,168,7,1.8,0.38,0,0,0,-0.28,Aligned,9.02,0.115,0.96,Optimal,3-7yr,0,0.36,-0.0933,-0.99,0.448,Development Needed,0.223,Coachable (High Eng + Low Perf),2024-10
EMP00030,Finance,Finance Manager,IC1,MGR0181,On-Site,30,Female,Master's,0.5,0.2,2.9,3.45,0,3.13,3.19,3.02,3.12,-0.06,1.72,2.99,82.4,4,92.1,65.9,3.96,3.72,Low,24,16.8,1,173,2,5.8,0.7,0,0,0,-0.45,Aligned,21.15,0.086,1.081,Optimal,0-1yr,0,0.19,-0.0188,-1.4,0.422,Development Needed,0.287,Star (High Eng + High Perf),2024-10
EMP00031,Marketing,Content Strategist,IC3,MGR0062,Hybrid,45,Female,Bachelor's,3.1,1.3,2.5,2.38,0,2.97,2.42,3.02,2.87,0.55,2.27,2.15,76.7,7,63.9,41.8,1.85,2.19,Medium,14,21.7,2,186,5,8.3,0.5,0,0,0,0.12,Slight Inflation,10.69,0.333,1.063,Optimal,3-7yr,0,0.415,0.0086,-0.6,0.401,Development Needed,0.129,Needs Support (Low Eng + Low Perf),2024-10
EMP00032,Engineering,ML Engineer,IC3,MGR0048,Remote,42,Female,Master's,9.5,6.3,2.5,2.76,1,2.23,2.04,3.02,2.29,0.19,2.87,1.88,62.1,7,57.1,26.1,3.35,3.85,Medium,7,42.7,3,201,4,1.7,0.23,0,0,0,-0.26,Aligned,8.87,0.52,1.149,Optimal,7+yr,0,0.489,-0.0371,0.58,0.443,Development Needed,0.077,Needs Support (Low Eng + Low Perf),2024-10
EMP00033,Finance,Finance Manager,IC1,MGR0094,Remote,26,Male,Master's,0.8,0.5,2.0,2.11,0,2.32,2.13,3.02,2.25,0.19,1.0,1.68,55.3,4,50.5,27.7,1.7,2.14,Medium,0,13.1,2,157,2,0.0,0.15,0,0,0,-0.11,Aligned,13.55,0.469,0.981,Optimal,0-1yr,0,0.36,-0.11,-1.25,0.243,Not Yet Ready,0.05,Needs Support (Low Eng + Low Perf),2024-10
EMP00034,Sales,Account Executive,IC3,MGR0143,Hybrid,44,Female,Bachelor's,1.7,0.8,3.5,3.28,1,4.34,2.73,3.02,3.51,1.61,1.0,2.07,75.3,4,80.1,48.3,2.61,3.75,Medium,0,16.3,1,179,3,3.1,0.68,0,0,0,0.22,Significant Inflation,18.52,0.858,1.023,Optimal,1-3yr,0,0.38,0.22,-2.51,0.48,Development Needed,0.26,Flight Risk (Low Eng + High Perf),2024-10
EMP00035,Operations,Operations Analyst,M1,MGR0191,On-Site,34,Female,PhD,1.6,1.3,2.4,2.28,1,3.35,2.58,2.32,3.51,0.77,2.24,2.28,57.9,7,63.1,48.7,2.49,3.0,Medium,0,19.7,2,180,9,6.8,0.41,0,0,0,0.22,Slight Inflation,8.49,0.536,0.973,Optimal,1-3yr,0,0.36,0.22,-1.27,0.376,Development Needed,0.17,Needs Support (Low Eng + Low Perf),2024-10
EMP00036,Marketing,Marketing Analyst,IC2,MGR0087,Hybrid,41,Female,Bachelor's,1.8,1.5,1.9,2.33,0,2.78,1.58,2.32,2.17,1.2,2.28,1.56,66.0,6,64.4,47.5,1.71,2.64,Medium,6,24.0,1,185,1,7.6,0.59,0,1,0,-0.33,Significant Inflation,11.13,0.605,1.101,Optimal,1-3yr,0,0.447,-0.055,0.11,0.293,Not Yet Ready,0.098,Needs Support (Low Eng + Low Perf),2024-10
EMP00037,Finance,FP&A Analyst,IC1,MGR0171,Hybrid,33,Male,Bachelor's,0.5,0.2,3.4,3.75,1,4.02,3.66,2.32,3.66,0.36,2.16,3.22,74.3,2,71.5,55.1,2.98,3.22,Medium,33,13.6,7,181,1,1.8,0.62,0,0,0,-0.25,Aligned,38.5,0.896,1.131,Optimal,0-1yr,0,0.473,-0.0076,-1.5,0.469,Development Needed,0.318,Star (High Eng + High Perf),2024-10
EMP00038,Engineering,Data Engineer,IC1,MGR0050,Hybrid,44,Male,Master's,1.3,0.5,3.6,3.15,1,4.18,3.68,2.32,3.96,0.5,2.04,2.9,77.0,3,82.6,61.5,5.0,2.25,Low,36,18.0,1,178,3,9.9,0.35,0,0,0,0.35,Aligned,25.33,0.963,1.112,Optimal,1-3yr,0,0.217,0.0097,-1.92,0.498,Development Needed,0.338,Star (High Eng + High Perf),2024-10
EMP00039,Engineering,Software Engineer,IC2,MGR0060,Hybrid,25,Male,Bachelor's,1.4,0.5,3.9,3.94,0,4.28,3.7,2.32,4.19,0.58,3.79,2.99,84.9,4,76.5,74.5,2.72,2.95,Medium,33,29.5,2,191,4,9.3,0.79,0,0,1,0.06,Slight Inflation,21.32,1.007,1.137,Optimal,1-3yr,0,0.479,0.0018,-0.4,0.569,Ready in 12 Months,0.543,Star (High Eng + High Perf),2024-10
EMP00040,HR,Compensation Analyst,M2,MGR0059,On-Site,32,Male,Master's,8.0,4.7,3.5,3.03,0,3.97,3.73,3.58,4.19,0.24,2.85,3.57,72.2,8,71.1,53.1,2.73,1.54,Medium,23,34.7,0,210,8,1.1,0.83,0,0,0,0.47,Aligned,9.16,0.197,1.077,Optimal,7+yr,0,0.427,0.0204,-1.34,0.635,Ready in 12 Months,0.319,Star (High Eng + High Perf),2024-10
EMP00041,HR,L&D Specialist,IC1,MGR0015,Hybrid,44,Female,PhD,1.7,0.6,4.1,4.23,1,4.25,3.29,3.58,4.19,0.96,3.22,1.9,66.1,3,62.0,35.0,3.25,4.07,Medium,6,13.9,0,167,4,4.7,0.63,0,0,1,-0.23,Slight Inflation,21.67,0.492,1.044,Optimal,1-3yr,0,0.398,-0.0383,-0.97,0.529,Ready in 12 Months,0.206,Flight Risk (Low Eng + High Perf),2024-10
EMP00042,Product,UX Researcher,IC3,MGR0029,Hybrid,22,Male,Associate's,2.4,1.4,2.9,2.87,0,3.08,2.85,3.58,3.03,0.23,3.09,2.57,80.7,6,89.2,41.7,2.95,3.44,Medium,14,34.2,0,203,5,2.7,0.81,0,0,0,0.13,Aligned,13.72,0.373,1.16,Optimal,1-3yr,0,0.499,0.0093,0.06,0.454,Development Needed,0.191,Flight Risk (Low Eng + High Perf),2024-10
EMP00043,Sales,Sales Manager,IC1,MGR0040,Hybrid,34,Male,PhD,1.9,1.1,3.5,3.78,1,3.9,3.68,3.58,3.52,0.22,2.81,2.84,63.5,3,65.1,54.0,3.54,3.08,Medium,13,52.7,1,214,3,1.6,0.52,0,0,0,-0.28,Aligned,20.87,0.164,1.338,Stretched,1-3yr,0,0.653,-0.0215,-0.71,0.461,Development Needed,0.324,Star (High Eng + High Perf),2024-10
EMP00044,Customer Success,CS Manager,IC2,MGR0031,Hybrid,31,Male,Bachelor's,0.5,0.4,1.4,1.18,0,2.48,1.62,3.58,1.77,0.86,1.27,1.19,35.5,5,37.0,47.5,1.08,3.6,Medium,0,43.2,1,197,5,0.1,0.33,0,1,0,0.32,Slight Inflation,7.66,0.982,1.173,Optimal,0-1yr,0,0.51,0.32,-0.5,0.141,Not Yet Ready,0.056,Needs Support (Low Eng + Low Perf),2024-10
EMP00045,Finance,Financial Analyst,M1,MGR0073,Hybrid,40,Female,Master's,18.6,8.9,3.9,4.47,1,4.41,3.71,3.56,3.89,0.7,2.72,1.19,94.9,8,93.9,75.2,2.71,2.29,Medium,58,35.7,0,210,8,7.0,0.84,0,0,1,-0.47,Slight Inflation,11.71,0.454,1.135,Optimal,7+yr,0,0.477,-0.0081,-1.17,0.706,Ready in 6 Months,0.519,Star (High Eng + High Perf),2024-10
EMP00046,Finance,FP&A Analyst,IC3,MGR0011,Remote,43,Female,Bachelor's,7.0,4.5,4.4,4.99,0,4.99,4.71,3.56,4.64,0.28,3.18,3.21,85.4,8,90.8,88.6,3.62,3.0,Low,49,16.5,6,170,5,6.7,0.74,1,0,1,-0.49,Aligned,10.54,0.758,0.971,Optimal,3-7yr,1,0.12,-0.01,-1.46,0.904,Ready Now,0.745,Star (High Eng + High Perf),2024-10
EMP00047,Customer Success,CS Manager,IC1,MGR0081,Hybrid,40,Male,Bachelor's,3.1,2.3,4.6,4.21,0,5.0,4.72,3.56,4.66,0.28,3.42,3.21,97.4,3,100.0,57.9,1.6,3.68,Low,67,19.9,1,186,3,14.6,1.22,1,0,1,0.29,Aligned,32.37,0.764,1.162,Optimal,3-7yr,0,0.26,0.0043,-1.24,0.851,Ready Now,0.476,Star (High Eng + High Perf),2024-10
EMP00048,Product,UX Researcher,IC2,MGR0062,On-Site,36,Male,Bachelor's,2.6,1.7,4.0,3.61,1,4.43,3.49,3.56,3.8,0.94,3.62,3.18,100.0,4,100.0,86.0,3.17,2.52,Low,46,18.6,0,168,7,11.1,1.23,0,0,1,0.39,Slight Inflation,25.0,0.524,1.0,Optimal,1-3yr,0,0.12,0.0085,-0.18,0.613,Ready in 12 Months,0.616,Star (High Eng + High Perf),2024-10
EMP00049,Operations,Ops Manager,IC1,MGR0136,Hybrid,35,Male,Bachelor's,4.2,3.7,2.6,2.6,0,2.71,2.36,3.56,2.5,0.35,1.61,1.8,50.7,5,55.5,25.7,1.07,4.15,Medium,4,14.6,1,163,3,0.3,0.45,0,0,0,-0.1,Aligned,10.3,0.617,1.019,Optimal,3-7yr,0,0.376,-0.025,-0.89,0.373,Development Needed,0.065,Needs Support (Low Eng + Low Perf),2024-10
EMP00050,Operations,Supply Chain Specialist,IC2,MGR0051,Remote,32,Male,PhD,1.6,1.1,2.4,2.27,0,3.11,2.47,3.56,2.68,0.64,1.65,1.93,62.1,3,57.7,54.9,2.88,3.02,Low,34,17.0,6,187,3,3.1,0.67,0,0,0,0.23,Slight Inflation,20.33,0.548,1.113,Optimal,1-3yr,0,0.218,0.0068,-1.03,0.336,Not Yet Ready,0.197,Coachable (High Eng + Low Perf),2024-10
EMP00051,Product,UX Researcher,IC3,MGR0057,On-Site,36,Male,Bachelor's,0.5,0.4,5.0,5.0,0,5.0,4.96,3.56,4.99,0.04,4.04,3.7,100.0,8,100.0,100.0,3.9,1.76,Medium,44,38.9,0,178,7,16.3,1.37,0,0,1,0.0,Aligned,12.5,0.82,1.017,Optimal,0-1yr,0,0.375,0.0,-0.95,0.702,Ready in 6 Months,0.98,Star (High Eng + High Perf),2024-10
EMP00052,Operations,Operations Analyst,IC1,MGR0132,Remote,46,Female,Master's,2.1,0.9,2.9,2.8,0,3.77,3.18,3.56,3.35,0.59,1.82,2.55,79.7,3,68.4,41.5,1.95,3.39,Medium,22,36.3,2,183,6,6.4,0.56,0,0,0,0.2,Slight Inflation,26.7,0.299,1.144,Optimal,1-3yr,0,0.485,0.0091,-1.53,0.455,Development Needed,0.167,Flight Risk (Low Eng + High Perf),2024-10
EMP00053,HR,Recruiter,IC2,MGR0164,Remote,28,Male,Bachelor's,16.5,10.0,4.0,4.26,0,4.8,3.76,3.56,4.42,1.04,3.22,2.24,67.1,3,65.1,64.9,3.21,2.96,Low,16,14.9,6,189,3,6.0,0.68,0,0,1,-0.26,Significant Inflation,21.77,0.666,1.125,Optimal,7+yr,0,0.228,-0.0162,-1.2,0.669,Ready in 6 Months,0.488,Star (High Eng + High Perf),2024-10
EMP00054,Finance,FP&A Analyst,IC2,MGR0147,Remote,31,Male,Master's,0.8,0.5,2.0,2.34,0,2.28,2.47,3.56,2.35,-0.19,3.22,1.74,45.8,5,39.1,53.7,2.78,4.79,Low,0,15.8,1,198,6,1.5,0.21,0,0,0,-0.34,Aligned,8.84,0.691,1.179,Optimal,0-1yr,0,0.275,-0.34,0.87,0.226,Not Yet Ready,0.126,Coachable (High Eng + Low Perf),2024-10
EMP00055,Product,UX Researcher,M2,MGR0024,Hybrid,34,Female,High School,3.0,2.7,3.5,2.81,0,3.54,3.26,4.6,2.35,0.28,3.08,2.72,71.0,8,70.0,47.8,2.1,2.98,Medium,41,40.0,2,213,7,3.4,0.71,0,0,0,0.69,Aligned,8.91,0.707,1.092,Optimal,1-3yr,0,0.44,0.0168,0.73,0.456,Development Needed,0.265,Flight Risk (Low Eng + High Perf),2024-10
EMP00056,Finance,FP&A Analyst,Director,MGR0041,Hybrid,43,Male,Bachelor's,0.5,0.2,3.9,3.87,0,5.0,3.5,3.53,4.01,1.5,3.24,2.4,82.3,8,75.0,98.3,3.87,3.87,Low,58,29.6,1,178,12,15.9,1.36,0,0,1,0.13,Significant Inflation,10.29,0.857,0.848,Under-Utilized,0-1yr,0,0.12,0.0022,-0.77,0.536,Ready in 12 Months,0.712,Star (High Eng + High Perf),2024-10
EMP00057,Customer Success,CS Manager,IC1,MGR0049,Hybrid,36,Female,Master's,0.5,0.2,3.6,3.16,0,3.52,3.32,3.53,3.61,0.2,2.61,2.28,85.8,3,81.2,63.1,3.79,2.88,Medium,39,21.8,4,187,3,8.4,1.18,0,0,0,0.34,Aligned,28.63,0.118,1.169,Optimal,0-1yr,0,0.506,0.0087,-1.0,0.487,Development Needed,0.362,Star (High Eng + High Perf),2024-10
