EmployeeID,Department,JobRole,JobLevel,ManagerID,LocationType,Age,Gender,EducationLevel,YearsAtCompany,YearsSinceLastPromotion,PerformanceRating,HistoricalRatingAvg,CalibrationAdjustedFlag,SelfRating,PeerAvgRating,SubordinateAvgRating,Overall360Score,SelfOtherGap,Leadership360,Collaboration360,OKRCompletionPct,NumOKRsAssigned,WeightedGoalAttainment,EngagementScore,JobSatisfaction,WorkLifeBalanceRating,BurnoutRisk,TrainingHoursLastYear,OvertimeHoursMonthly,AbsenteeismDays,AvgMonthlyHours,ProjectsHandled,PercentSalaryHikeLast,BonusPayoutPct,HighPotentialFlag,PIPHistoryFlag
EMP00012,Product,Product Manager,IC3,MGR0050,Hybrid,37,Male,Master's,11.1,8.4,3.0,2.94,0,3.02,2.96,,,0.06,2.61,2.06,96.0,6,100.0,76.0,2.79,4.36,Low,43,20.1,2,178,6,7.9,0.88,0,0
EMP00013,HR,Compensation Analyst,IC2,MGR0081,On-Site,32,Male,Master's,0.5,0.2,2.0,1.96,1,2.6,2.08,,2.27,0.52,2.1,2.26,55.2,5,58.2,41.4,1.93,2.42,Medium,0,14.7,2,188,4,2.3,0.22,0,0
EMP00014,HR,L&D Specialist,IC2,MGR0044,On-Site,36,Male,Master's,5.2,4.5,5.0,4.95,1,5.0,4.68,,4.6,0.32,3.99,3.91,100.0,6,95.6,93.5,3.96,2.48,Medium,62,21.5,1,205,4,14.3,1.32,1,0
EMP00015,Customer Success,CS Specialist,IC3,MGR0059,Hybrid,22,Male,Bachelor's,1.9,1.7,3.5,2.77,1,4.2,3.72,,3.73,0.48,2.27,2.48,79.4,6,80.8,64.3,4.56,3.68,Medium,30,19.4,2,184,4,6.4,0.7,0,0
EMP00016,Marketing,Content Strategist,IC1,MGR0161,Remote,35,Male,Bachelor's,3.0,2.5,3.0,3.24,1,3.41,,,2.9,1.06,3.16,1.98,82.2,4,85.6,56.8,4.0,3.37,Medium,22,23.4,1,164,3,3.6,0.49,0,0
EMP00017,Finance,Financial Analyst,IC3,MGR0103,Hybrid,38,Female,Bachelor's,1.4,0.9,2.5,2.51,0,2.21,2.84,,2.62,-0.63,1.96,2.24,56.0,6,48.9,46.8,2.12,2.46,High,31,53.9,1,224,8,5.5,0.5,0,0
EMP00018,Customer Success,CS Manager,Director,MGR0078,Remote,31,Male,Master's,1.6,0.9,4.0,3.96,0,4.32,4.37,3.78,4.16,-0.05,3.92,3.74,83.4,8,73.3,56.4,3.47,2.53,Medium,32,25.8,5,180,10,3.4,0.99,1,0
EMP00019,Customer Success,CS Specialist,IC1,MGR0156,Remote,34,Female,PhD,0.5,0.2,3.5,3.6,0,3.3,4.11,,3.75,-0.81,3.37,3.44,93.9,5,96.4,64.8,3.91,2.88,Low,33,22.8,3,156,5,5.3,0.76,0,0
EMP00020,HR,Compensation Analyst,M1,MGR0018,Hybrid,26,Male,Bachelor's,5.2,4.5,3.0,3.27,0,2.74,3.36,3.18,3.09,-0.62,1.82,2.67,67.3,4,68.4,63.9,3.78,4.08,Low,25,20.8,0,178,5,5.8,0.6,0,0
EMP00021,Operations,Ops Manager,M2,MGR0183,On-Site,24,Male,Bachelor's,5.0,4.4,2.5,1.8,0,1.91,2.21,2.94,2.35,-0.3,,1.85,59.3,8,62.3,55.4,2.45,3.43,Medium,11,33.3,1,206,6,5.7,0.63,0,0
EMP00022,Marketing,Marketing Analyst,M2,MGR0161,On-Site,36,Female,Master's,4.2,1.3,3.0,2.99,1,2.76,,2.81,2.99,-0.65,2.95,2.82,76.0,8,68.1,48.1,3.55,3.65,Medium,24,29.2,0,199,11,7.6,0.68,0,0
EMP00023,Sales,Account Executive,Director,MGR0116,Hybrid,29,Female,PhD,8.4,4.3,2.0,1.22,0,1.82,2.3,1.92,2.01,-0.48,1.86,,43.6,8,47.2,31.2,2.22,2.77,Medium,0,24.3,7,181,10,1.5,0.13,0,1
EMP00024,Customer Success,CS Manager,IC2,MGR0106,Hybrid,22,Female,Associate's,9.3,7.7,2.5,3.03,0,3.31,2.15,,2.76,1.16,3.32,1.61,67.6,4,61.5,53.2,2.75,3.58,Medium,23,18.9,0,197,5,6.7,0.47,0,0
EMP00025,Finance,Accountant,Director,MGR0143,Remote,26,Non-Binary,Master's,3.3,1.2,1.5,1.2,0,2.03,,1.09,1.53,0.56,1.78,1.0,48.1,8,42.5,51.0,1.0,2.09,Medium,9,35.1,2,187,10,0.4,0.0,0,1
EMP00026,Operations,Supply Chain Specialist,M1,MGR0189,Remote,27,Male,PhD,4.6,1.9,3.0,3.3,0,4.1,1.88,3.02,3.0,2.22,2.81,1.44,84.0,6,78.3,71.1,2.91,2.52,Low,48,27.9,3,208,9,5.1,0.82,0,0
EMP00027,Operations,Supply Chain Specialist,IC1,MGR0011,Remote,41,Male,Bachelor's,0.5,0.4,2.0,1.98,0,2.22,,,2.05,0.8,2.42,,40.7,3,42.9,57.9,2.39,3.97,Medium,9,12.3,1,167,2,2.8,0.45,0,0
EMP00028,Sales,Sales Development Rep,IC2,MGR0164,On-Site,36,Female,Bachelor's,7.5,6.1,1.5,1.66,1,1.28,1.69,,1.41,-0.41,1.0,1.33,48.7,6,41.8,13.0,2.71,3.45,Medium,0,14.0,0,170,5,0.0,0.14,0,1
EMP00029,Customer Success,Onboarding Manager,IC3,MGR0143,Remote,28,Non-Binary,Bachelor's,6.8,5.8,2.5,2.78,0,2.8,2.97,,2.82,-0.17,1.83,2.71,54.1,6,49.1,63.5,2.44,4.65,Medium,3,27.2,0,168,7,1.8,0.38,0,0
EMP00030,Finance,Finance Manager,IC1,MGR0181,On-Site,30,Female,Master's,0.5,0.2,3.0,3.45,0,3.13,3.19,,3.12,-0.06,1.72,2.99,84.6,4,92.1,61.6,3.96,3.72,Low,24,16.8,2,173,2,5.8,0.7,0,0
EMP00031,Marketing,Content Strategist,IC3,MGR0062,Hybrid,45,Female,Bachelor's,3.1,1.3,2.5,2.38,0,2.97,2.42,,2.87,0.55,2.27,2.15,74.8,7,63.9,40.9,1.85,2.19,Medium,14,21.7,2,186,5,8.3,0.5,0,0
EMP00032,Engineering,ML Engineer,IC3,MGR0048,Remote,42,Female,Master's,9.5,6.3,2.5,2.76,1,2.23,2.04,,2.29,0.19,2.87,1.88,62.1,7,57.1,28.5,3.35,3.85,Medium,7,42.7,2,201,4,1.7,0.23,0,0
EMP00033,Finance,Finance Manager,IC1,MGR0094,Remote,26,Male,Master's,0.8,0.5,2.0,2.11,0,2.32,2.13,,2.25,0.19,1.0,1.68,54.2,4,50.5,27.9,1.7,2.14,Medium,0,13.1,1,157,2,0.0,0.15,0,0
EMP00034,Sales,Account Executive,IC3,MGR0143,Hybrid,44,Female,Bachelor's,1.7,0.8,3.5,3.28,1,4.34,2.73,,3.51,1.61,,2.07,74.1,4,80.1,47.4,2.61,3.75,Medium,0,16.3,1,179,3,3.1,0.68,0,0
EMP00035,Operations,Operations Analyst,M1,MGR0191,On-Site,34,Female,PhD,1.6,1.3,2.5,2.28,1,3.35,2.58,2.32,,0.77,2.24,2.28,59.4,7,63.1,50.8,2.49,3.0,Medium,0,19.7,2,180,9,6.8,0.41,0,0
EMP00036,Marketing,Marketing Analyst,IC2,MGR0087,Hybrid,41,Female,Bachelor's,1.8,1.5,2.0,2.33,0,2.78,1.58,,2.17,1.2,2.28,1.56,66.8,6,64.4,45.2,1.71,2.64,Medium,6,24.0,1,185,1,7.6,0.59,0,1
EMP00037,Finance,FP&A Analyst,IC1,MGR0171,Hybrid,33,Male,Bachelor's,0.5,0.2,3.5,3.75,1,4.02,3.66,,3.66,0.36,2.16,3.22,77.0,2,71.5,55.8,2.98,3.22,Medium,33,13.6,8,181,1,1.8,0.62,0,0
EMP00038,Engineering,Data Engineer,IC1,MGR0050,Hybrid,44,Male,Master's,1.3,0.5,3.5,3.15,1,4.18,3.68,,3.96,0.5,2.04,2.9,76.0,3,82.6,58.6,5.0,2.25,Low,36,18.0,0,178,3,9.9,0.35,0,0
EMP00039,Engineering,Software Engineer,IC2,MGR0060,Hybrid,25,Male,Bachelor's,1.4,0.5,4.0,3.94,0,4.28,3.7,,4.19,0.58,3.79,2.99,85.3,4,76.5,75.2,2.72,2.95,Medium,33,29.5,2,191,4,9.3,0.79,0,0
EMP00040,HR,Compensation Analyst,M2,MGR0059,On-Site,32,Male,Master's,8.0,4.7,3.5,3.03,0,3.97,3.73,3.58,,0.24,2.85,3.57,73.3,8,71.1,55.9,2.73,1.54,Medium,23,34.7,1,210,8,1.1,0.83,0,0
EMP00041,HR,L&D Specialist,IC1,MGR0015,Hybrid,44,Female,PhD,1.7,0.6,4.0,4.23,1,4.25,3.29,,,0.96,3.22,1.9,65.0,3,62.0,34.7,3.25,4.07,Medium,6,13.9,0,167,4,4.7,0.63,0,0
EMP00042,Product,UX Researcher,IC3,MGR0029,Hybrid,22,Male,Associate's,2.4,1.4,3.0,2.87,0,3.08,2.85,,3.03,0.23,3.09,2.57,82.3,6,89.2,44.4,2.95,3.44,Medium,14,34.2,0,203,5,2.7,0.81,0,0
EMP00043,Sales,Sales Manager,IC1,MGR0040,Hybrid,34,Male,PhD,1.9,1.1,3.5,3.78,1,3.9,3.68,,3.52,0.22,2.81,2.84,62.6,3,65.1,56.6,3.54,3.08,Medium,13,52.7,0,214,3,1.6,0.52,0,0
EMP00044,Customer Success,CS Manager,IC2,MGR0031,Hybrid,31,Male,Bachelor's,0.5,0.4,1.5,1.18,0,2.48,1.62,,1.77,0.86,1.27,1.19,38.3,5,37.0,50.1,1.08,3.6,Medium,0,43.2,0,197,5,0.1,0.33,0,1
EMP00045,Finance,Financial Analyst,M1,MGR0073,Hybrid,40,Female,Master's,18.6,8.9,4.0,4.47,1,4.41,3.71,3.56,3.89,0.7,2.72,,93.7,8,93.9,72.3,2.71,2.29,Medium,58,35.7,0,210,8,7.0,0.84,0,0
EMP00046,Finance,FP&A Analyst,IC3,MGR0011,Remote,43,Female,Bachelor's,7.0,4.5,4.5,4.99,0,4.99,4.71,,4.64,0.28,3.18,3.21,84.3,8,90.8,86.6,3.62,3.0,Low,49,16.5,5,170,5,6.7,0.74,1,0
EMP00047,Customer Success,CS Manager,IC1,MGR0081,Hybrid,40,Male,Bachelor's,3.1,2.3,4.5,4.21,0,5.0,4.72,,4.66,0.28,3.42,,97.1,3,100.0,59.0,1.6,3.68,Low,67,19.9,0,186,3,14.6,1.22,1,0
EMP00048,Product,UX Researcher,IC2,MGR0062,On-Site,36,Male,Bachelor's,2.6,1.7,4.0,3.61,1,4.43,3.49,,3.8,0.94,3.62,3.18,100.0,4,100.0,83.9,3.17,2.52,Low,46,18.6,0,168,7,11.1,1.23,0,0
EMP00049,Operations,Ops Manager,IC1,MGR0136,Hybrid,35,Male,Bachelor's,4.2,3.7,2.5,2.6,0,2.71,2.36,,2.5,0.35,1.61,1.8,51.5,5,55.5,25.5,1.07,4.15,Medium,4,14.6,1,163,3,0.3,0.45,0,0
EMP00050,Operations,Supply Chain Specialist,IC2,MGR0051,Remote,32,Male,PhD,1.6,1.1,2.5,2.27,0,3.11,2.47,,2.68,0.64,1.65,1.93,61.0,3,57.7,57.3,2.88,3.02,Low,34,17.0,5,187,3,3.1,0.67,0,0
EMP00051,Product,UX Researcher,IC3,MGR0057,On-Site,36,Male,Bachelor's,0.5,0.4,5.0,5.0,0,5.0,4.96,,4.99,0.04,4.04,3.7,100.0,8,100.0,98.2,3.9,1.76,Medium,44,38.9,0,178,7,16.3,1.37,0,0
EMP00052,Operations,Operations Analyst,IC1,MGR0132,Remote,46,Female,Master's,2.1,0.9,3.0,2.8,0,3.77,3.18,,3.35,0.59,1.82,2.55,80.1,3,68.4,40.1,1.95,3.39,Medium,22,36.3,1,183,6,6.4,0.56,0,0
EMP00053,HR,Recruiter,IC2,MGR0164,Remote,28,Male,Bachelor's,16.5,10.0,4.0,4.26,0,4.8,3.76,,4.42,1.04,3.22,2.24,65.3,3,65.1,68.5,3.21,2.96,Low,16,14.9,7,189,3,6.0,0.68,0,0
EMP00054,Finance,FP&A Analyst,IC2,MGR0147,Remote,31,Male,Master's,0.8,0.5,2.0,2.34,0,2.28,2.47,,2.35,-0.19,,1.74,44.2,5,39.1,55.5,2.78,4.79,Low,0,15.8,0,198,6,1.5,0.21,0,0
EMP00055,Product,UX Researcher,M2,MGR0024,Hybrid,34,Female,High School,3.0,2.7,3.5,2.81,0,3.54,3.26,4.6,,0.28,3.08,2.72,71.3,8,70.0,48.1,2.1,2.98,Medium,41,40.0,1,213,7,3.4,0.71,0,0
EMP00056,Finance,FP&A Analyst,Director,MGR0041,Hybrid,43,Male,Bachelor's,0.5,0.2,4.0,3.87,0,5.0,3.5,3.53,4.01,1.5,3.24,2.4,82.3,8,75.0,95.5,3.87,3.87,Low,58,29.6,1,178,12,15.9,1.36,0,0
EMP00057,Customer Success,CS Manager,IC1,MGR0049,Hybrid,36,Female,Master's,0.5,0.2,3.5,3.16,0,3.52,3.32,,3.61,0.2,2.61,2.28,85.9,3,81.2,62.1,3.79,2.88,Medium,39,21.8,3,187,3,8.4,1.18,0,0
EMP00058,Engineering,Data Engineer,M1,MGR0174,Hybrid,42,Male,Bachelor's,3.5,2.3,2.0,1.74,0,2.18,1.99,1.34,1.84,0.19,2.2,1.45,66.6,8,69.8,49.6,3.1,1.92,Medium,14,21.4,1,167,10,6.8,0.18,0,1
EMP00059,HR,HR Business Partner,IC2,MGR0036,Hybrid,43,Female,Bachelor's,1.4,0.6,2.0,1.79,0,1.5,1.49,,1.84,0.01,1.55,1.34,64.3,4,55.6,76.2,1.68,3.44,Low,0,16.2,2,174,5,5.0,0.55,0,1
EMP00060,Marketing,Marketing Analyst,IC2,MGR0010,On-Site,39,Female,Master's,9.4,6.4,2.5,2.42,0,3.35,2.29,,2.79,1.06,2.15,2.14,65.2,6,64.2,36.5,1.7,3.46,Medium,0,18.7,4,172,7,1.7,0.2,0,0
EMP00061,HR,HR Business Partner,M1,MGR0078,Remote,26,Female,PhD,2.1,1.9,2.0,1.92,0,1.73,1.47,1.95,1.72,0.26,1.45,1.18,62.4,7,55.3,41.9,2.46,3.94,Medium,3,21.3,3,195,7,2.9,0.44,0,0
EMP00062,Product,Product Manager,M2,MGR0135,On-Site,48,Male,Bachelor's,0.9,0.8,1.0,1.0,0,1.5,1.15,1.14,1.26,0.35,1.0,1.0,54.5,8,54.2,31.6,2.0,1.83,High,0,43.1,3,202,7,0.0,0.16,0,1
EMP00063,Marketing,Content Strategist,Director,MGR0140,Hybrid,46,Male,Bachelor's,3.2,1.4,2.5,2.41,0,2.92,2.34,2.33,2.53,0.58,1.8,1.99,76.0,8,76.7,49.9,4.56,3.6,Medium,13,23.4,2,160,11,6.4,0.38,0,0
EMP00064,Engineering,Software Engineer,IC3,MGR0086,Hybrid,35,Male,Bachelor's,6.3,2.5,4.5,4.61,0,4.77,3.56,,4.21,1.21,3.42,2.78,93.5,5,83.7,91.5,4.31,3.54,Medium,45,54.3,1,219,8,9.8,1.14,1,0
EMP00065,Product,Product Manager,IC2,MGR0176,Hybrid,23,Female,Master's,0.5,0.3,3.5,3.42,0,3.58,3.76,,3.7,-0.18,2.8,3.23,69.1,4,58.8,60.8,2.88,3.48,Medium,23,33.0,2,189,4,4.9,0.74,0,0
EMP00066,Sales,Sales Development Rep,M1,MGR0165,Hybrid,22,Female,Master's,2.8,1.8,4.5,4.44,0,4.98,3.99,3.82,4.26,0.99,3.74,3.64,83.1,8,72.4,90.1,3.43,1.18,Low,40,24.8,1,180,10,9.7,1.17,1,0
EMP00067,Finance,Accountant,IC2,MGR0164,Remote,37,Male,Master's,5.9,4.1,3.5,3.8,0,4.5,4.33,,4.18,0.17,3.5,3.42,90.6,2,92.6,77.9,3.32,4.02,Low,38,17.4,1,191,5,9.2,1.03,0,0
EMP00068,Engineering,DevOps Engineer,IC3,MGR0060,On-Site,29,Male,Master's,0.5,0.4,3.5,3.91,0,3.7,3.16,,3.45,0.54,2.99,2.19,71.1,5,67.2,37.0,1.85,2.34,Medium,15,26.3,0,187,10,3.6,0.31,0,0
EMP00069,Finance,Accountant,IC2,MGR0096,Remote,22,Male,Associate's,9.3,6.1,3.0,3.19,0,2.64,2.7,,2.75,-0.06,2.08,2.14,61.7,4,58.2,55.2,2.41,3.92,Medium,1,19.2,1,165,4,0.4,0.26,0,0
EMP00070,Operations,Supply Chain Specialist,IC3,MGR0008,Remote,22,Male,Master's,1.2,0.4,2.0,1.95,0,1.58,1.96,,1.79,-0.38,2.86,2.17,64.7,5,66.2,45.1,4.03,4.58,Low,0,19.8,2,175,7,0.1,0.24,0,0
EMP00071,Sales,Sales Manager,IC1,MGR0135,Hybrid,31,Male,PhD,0.7,0.5,2.0,1.61,1,2.22,1.05,,1.81,1.17,1.11,1.0,51.7,4,50.4,35.1,1.0,3.84,Medium,0,15.2,1,170,4,0.0,0.14,0,0
EMP00072,Sales,Sales Development Rep,IC1,MGR0107,Hybrid,36,Male,PhD,3.6,1.3,3.0,3.26,0,3.12,3.05,,3.23,0.07,2.3,2.15,69.2,3,69.9,74.3,3.03,3.41,Low,0,12.7,2,171,3,3.0,0.56,0,0
EMP00073,Engineering,Data Engineer,M2,MGR0171,Remote,46,Female,Master's,0.8,0.2,1.0,1.0,0,1.23,1.15,2.05,1.48,0.08,1.76,1.0,32.2,8,34.8,15.3,2.98,3.06,High,0,24.6,2,177,10,0.0,0.0,0,0
EMP00074,Sales,Sales Development Rep,IC1,MGR0058,On-Site,38,Female,Master's,4.6,3.5,3.5,3.75,1,3.91,3.72,,3.89,0.19,2.83,2.95,85.2,5,83.2,61.6,4.51,3.32,Low,31,14.3,4,175,3,5.3,0.8,0,0
EMP00075,Marketing,Content Strategist,IC2,MGR0081,On-Site,31,Non-Binary,PhD,2.7,1.7,3.0,2.99,0,3.11,3.0,,3.18,0.11,1.26,2.15,64.2,6,64.8,72.4,3.66,2.38,Medium,15,14.2,0,179,6,6.5,0.49,0,0
EMP00076,Sales,Sales Manager,IC1,MGR0086,Hybrid,38,Male,Associate's,0.5,0.4,4.0,4.49,0,5.0,3.93,,4.21,1.07,3.24,3.52,80.4,5,81.2,59.2,3.27,3.55,Medium,29,14.1,1,180,4,4.8,0.71,0,0
EMP00077,Finance,Accountant,IC1,MGR0174,Hybrid,37,Female,Bachelor's,9.7,5.1,3.5,3.44,0,3.95,2.87,,3.37,1.08,2.28,2.48,91.2,4,89.7,70.8,4.16,3.07,Low,36,14.1,1,177,2,9.5,0.86,0,0
EMP00078,Finance,Accountant,IC1,MGR0034,Hybrid,40,Female,Bachelor's,4.5,1.4,3.0,2.26,0,3.66,3.07,,3.26,0.59,1.82,2.8,78.0,4,79.2,54.3,3.33,2.27,Low,32,14.9,4,176,3,5.3,0.52,0,0
EMP00079,Product,Product Analyst,IC1,MGR0084,Hybrid,34,Male,Associate's,3.2,1.6,4.5,4.44,0,4.74,4.39,,4.63,0.35,2.41,2.58,98.7,5,100.0,71.8,5.0,2.43,Medium,46,35.3,1,200,2,11.8,1.3,1,0
EMP00080,Finance,FP&A Analyst,M1,MGR0117,Hybrid,43,Female,Bachelor's,1.9,1.3,4.5,4.26,0,4.74,4.25,4.35,4.45,0.49,3.63,3.48,87.6,6,92.2,56.1,3.81,3.17,Medium,35,36.4,0,210,7,7.2,0.72,1,0
EMP00081,Product,Product Manager,IC2,MGR0200,On-Site,41,Male,PhD,0.6,0.3,2.0,2.35,0,2.06,1.54,,2.06,0.52,1.37,1.26,78.2,4,67.6,32.8,2.1,2.15,Medium,22,14.3,2,157,3,2.2,0.25,0,0
EMP00082,Finance,FP&A Analyst,Director,MGR0022,On-Site,35,Male,Bachelor's,4.9,3.5,2.5,3.1,1,2.83,2.57,2.25,2.55,0.26,2.52,1.76,70.0,8,76.1,45.7,4.25,3.24,Medium,12,24.2,7,179,9,4.9,0.65,0,0
EMP00083,Marketing,Growth Manager,IC3,MGR0149,On-Site,34,Male,Bachelor's,6.7,5.2,1.5,1.87,0,1.19,1.29,,1.16,-0.1,1.0,1.16,50.7,7,53.9,31.3,1.71,4.2,Medium,0,20.7,1,183,5,0.0,0.0,0,1
EMP00084,Customer Success,CS Manager,IC2,MGR0015,Remote,42,Male,Bachelor's,0.5,0.3,2.5,3.13,0,2.16,1.74,,2.31,0.42,3.74,1.1,44.9,4,49.0,34.5,1.8,3.35,Medium,0,16.6,2,175,7,5.2,0.27,0,0
EMP00085,Product,Product Analyst,IC3,MGR0133,Remote,29,Female,Bachelor's,2.7,2.2,3.0,2.72,0,3.05,2.82,,,0.23,2.2,1.77,67.4,7,60.6,48.0,3.06,3.05,Medium,21,20.0,2,172,5,2.9,0.72,0,0
EMP00086,HR,L&D Specialist,IC2,MGR0102,Remote,22,Male,Bachelor's,2.7,2.2,3.5,3.07,1,3.42,3.13,,3.32,0.29,3.23,2.72,67.6,4,66.5,71.9,3.87,2.58,Medium,23,28.2,0,167,6,6.4,1.03,0,0
EMP00087,Operations,Supply Chain Specialist,M1,MGR0145,Hybrid,22,Male,Master's,1.7,1.4,2.5,2.61,1,2.55,2.71,1.93,2.4,-0.16,2.72,2.12,56.7,8,54.4,46.7,2.57,3.53,Medium,11,24.7,1,194,9,1.7,0.33,0,0
EMP00088,Engineering,Software Engineer,IC2,MGR0200,Hybrid,28,Male,Master's,6.2,4.3,2.0,1.55,0,2.17,1.84,,2.17,0.33,2.09,1.0,66.8,4,63.1,62.3,2.49,2.01,Medium,11,18.3,3,185,5,2.7,0.11,0,0
EMP00089,Finance,Accountant,IC2,MGR0147,Hybrid,40,Female,High School,0.5,0.2,1.5,2.06,0,1.68,1.31,,1.87,0.37,1.0,1.48,50.1,6,47.7,38.7,3.23,3.12,Medium,0,19.3,1,167,6,0.3,0.03,0,0
EMP00090,Sales,Account Executive,M2,MGR0005,Hybrid,31,Male,Bachelor's,0.9,0.5,3.0,2.8,0,3.63,3.01,3.27,3.3,0.62,3.56,2.43,63.9,8,68.8,29.2,2.57,3.31,Medium,0,22.6,2,201,7,6.1,0.34,0,0
EMP00091,Customer Success,Onboarding Manager,M2,MGR0023,On-Site,36,Female,Master's,0.5,0.4,5.0,5.0,0,5.0,5.0,4.76,4.92,0.0,4.14,3.76,100.0,8,100.0,68.6,4.52,2.69,Medium,37,21.9,1,184,7,9.0,1.25,0,0
EMP00092,Finance,Finance Manager,M2,MGR0083,Hybrid,31,Female,Master's,1.9,0.8,3.0,2.72,0,3.29,3.04,3.16,3.16,0.25,2.8,1.94,78.1,8,72.7,34.1,3.97,3.42,Medium,43,21.9,6,176,11,4.8,0.64,0,0
EMP00093,Sales,Account Executive,IC2,MGR0014,On-Site,31,Male,Master's,1.4,1.0,3.5,3.97,1,4.59,3.12,,3.84,1.47,2.61,2.16,82.9,5,78.3,64.1,2.94,4.76,Medium,28,26.8,5,174,5,6.8,1.03,0,0
EMP00094,Operations,Supply Chain Specialist,M1,MGR0010,Remote,26,Male,Master's,8.1,5.1,2.0,1.56,0,2.11,1.36,2.27,1.91,0.75,1.8,1.0,44.9,8,43.4,58.1,2.53,3.6,Medium,19,19.7,1,172,10,4.2,0.17,0,1
EMP00095,Operations,Supply Chain Specialist,IC2,MGR0031,Remote,34,Female,Bachelor's,5.5,2.0,2.0,1.97,1,2.63,2.37,,2.23,0.26,1.62,2.41,51.8,5,48.8,38.4,3.25,4.15,Medium,0,33.4,2,191,2,1.1,0.1,0,1
EMP00096,Operations,Supply Chain Specialist,IC2,MGR0141,On-Site,33,Male,Bachelor's,0.5,0.3,2.0,2.57,0,2.5,1.04,,1.79,1.46,1.0,1.43,46.0,7,41.5,33.1,3.17,3.88,Medium,2,18.8,4,179,7,0.0,0.33,0,0
EMP00097,Sales,Sales Development Rep,IC1,MGR0127,Hybrid,38,Male,Bachelor's,5.4,1.8,3.0,2.11,0,3.21,2.89,,2.94,0.32,2.33,2.68,70.5,4,67.6,70.3,2.57,4.39,Low,26,18.1,0,180,3,7.1,0.74,0,0
